aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransform,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransform,aggregated_count_nncontribconv2dwinogradwithoutweighttransform,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
354197.164,42.17568039999999,59.0,839814.3570000003,99.99999777999999,191.0,977.559,0.116402,1.0,6449.875,0.76801166,24.0,412440.0290000001,49.110825399999996,58.0,12745.399000000001,1.51764294,38.0,48503.8,5.7755399999999995,3.0,948.4450000000002,0.1129351,3.0,490.67600000000004,0.05842667,3.0,74.06,0.00881861,1.0,2987.35,0.355715,1.0,densenet121.onnx
367692.53100000013,44.316738899999976,59.0,829691.9849999999,99.99999868999997,191.0,974.48,0.117451,1.0,6422.004000000001,0.7740231299999999,24.0,388586.547,46.835047399999986,58.0,12746.604999999998,1.5363066099999996,38.0,48775.7,5.878769999999999,3.0,943.18,0.1136784,3.0,489.573,0.059006590000000005,3.0,74.155,0.00893766,1.0,2987.21,0.360039,1.0,densenet121.onnx
355873.03400000016,42.33467610000002,59.0,840619.7119999995,100.00004499999999,191.0,974.563,0.115934,1.0,6430.179,0.7649328599999998,24.0,412004.66900000005,49.012003299999996,58.0,12734.567999999997,1.51490092,38.0,48101.2,5.722099999999999,3.0,949.1119999999999,0.1129062,3.0,482.366,0.05738213,3.0,73.861,0.00878649,1.0,2996.16,0.356423,1.0,densenet121.onnx
355094.186,43.4093991,59.0,818012.9230000002,100.00000877999999,191.0,976.937,0.119428,1.0,6430.640999999999,0.7861293699999998,24.0,389699.09199999995,47.639700699999985,58.0,12724.015,1.5554768299999997,38.0,48581.0,5.9389,3.0,950.0319999999999,0.11613899999999999,3.0,485.548,0.05935699999999999,3.0,74.102,0.00905878,1.0,2997.37,0.36642,1.0,densenet121.onnx
353968.72900000017,42.020918,59.0,842362.9060000002,99.99997965000004,191.0,977.962,0.116097,1.0,6427.19,0.7629954499999999,24.0,413414.7909999999,49.07799580000002,58.0,12744.560999999998,1.5129535100000002,38.0,50337.100000000006,5.97569,3.0,952.847,0.11311589999999999,3.0,491.211,0.05831348,3.0,76.255,0.00905251,1.0,2972.26,0.352848,1.0,densenet121.onnx
366929.13,44.1052896,59.0,831939.7480000003,100.00000627000006,191.0,975.781,0.11729,1.0,6433.814,0.77335105,24.0,390794.903,46.973923299999996,58.0,12749.325000000004,1.5324810500000008,38.0,49551.5,5.95613,3.0,949.985,0.11418919999999999,3.0,489.20599999999996,0.05880308,3.0,77.154,0.00927399,1.0,2988.95,0.359275,1.0,densenet121.onnx
355014.1199999999,42.39071319999999,59.0,837481.9870000004,100.00004758000001,191.0,976.325,0.116579,1.0,6435.2530000000015,0.76840468,24.0,412651.58199999994,49.27289110000001,58.0,12728.252999999999,1.5198231399999997,38.0,45193.1,5.3963,3.0,948.394,0.1132435,3.0,488.563,0.05833713,3.0,73.027,0.00871983,1.0,2973.37,0.355036,1.0,densenet121.onnx
355471.17600000004,43.37100279999999,59.0,819605.44,100.00000873000013,191.0,974.445,0.118892,1.0,6434.727,0.7851009,24.0,389287.2210000001,47.4969164,58.0,12755.501999999999,1.5562971800000005,38.0,50178.4,6.122269999999999,3.0,944.9490000000001,0.11529320000000001,3.0,488.65999999999997,0.059621320000000005,3.0,75.19,0.00917393,1.0,2995.17,0.365441,1.0,densenet121.onnx
354019.1179999997,42.216285200000016,59.0,838584.9769999998,100.0000109599999,191.0,983.347,0.117263,1.0,6444.156999999998,0.7684558,24.0,411186.6450000001,49.03336949999999,58.0,12741.595000000003,1.5194158700000007,38.0,48740.1,5.81218,3.0,950.832,0.1133853,3.0,488.97400000000005,0.058309459999999994,3.0,75.379,0.00898883,1.0,2954.83,0.352358,1.0,densenet121.onnx
368272.9720000002,44.34687370000001,59.0,830438.3360000001,100.00007421,191.0,976.412,0.117578,1.0,6428.160000000001,0.7740682700000001,24.0,389857.2739999998,46.94597289999998,58.0,12749.729,1.5353002199999997,38.0,47658.7,5.738989999999999,3.0,951.076,0.114527,3.0,488.28400000000005,0.05879835,3.0,73.849,0.00889277,1.0,2981.88,0.359073,1.0,densenet121.onnx
