Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 768, 7, 7], float32[768], float32[1, 768, 7, 7]",1,"opencl0",46.447,"6c1d6b6fa7e21498","tvmgen_default_fused_nn_bias_add_15",0.0236966,,,
"float32[1, 768, 7, 7], float32[1, 768, 7, 7]",1,"opencl0",46.658,"26fc902ff45ff098","tvmgen_default_fused_nn_relu_10",0.0238042,,,
"float32[1, 768, 7, 7], float32[248, 768, 1, 1], float32[1, 248, 7, 7]",1,"opencl0",2127.66,"5efe9d00f56a2910","tvmgen_default_fused_nn_conv2d_26",1.0855,"NCHW","OIHW",""
"float32[1, 248, 7, 7], float32[248], float32[1, 248, 7, 7]",1,"opencl0",16.456,"9b9867df4bf99e4f","tvmgen_default_fused_nn_bias_add_16",0.00839561,,,
"float32[1, 248, 7, 7], float32[1488, 248, 1, 1], float32[1, 1488, 7, 7]",1,"opencl0",9369.51,"883835cbceb4f016","tvmgen_default_fused_nn_conv2d_27",4.78018,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",97.445,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.049715,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",88.282,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0450402,,,
"float32[1, 1488, 7, 7], float32[1488, 1, 5, 5], float32[1, 1488, 7, 7]",1,"opencl0",2026.46,"0bc4f986d7bc7a11","tvmgen_default_fused_nn_conv2d_28",1.03387,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",99.264,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.050643,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",90.405,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0461233,,,
"float32[1, 1488, 7, 7], float32[248, 1488, 1, 1], float32[1, 248, 7, 7]",1,"opencl0",4680.79,"a15309269ab62de1","tvmgen_default_fused_nn_conv2d_29",2.38807,"NCHW","OIHW",""
"float32[1, 248, 7, 7], float32[248], float32[1, 248, 7, 7]",1,"opencl0",15.645,"9b9867df4bf99e4f","tvmgen_default_fused_nn_bias_add_16",0.00798185,,,
"float32[1, 248, 7, 7], float32[1, 248, 7, 7], float32[1, 248, 7, 7]",1,"opencl0",22.354,"25571acb5763e489","tvmgen_default_fused_add_4",0.0114047,,,
"float32[1, 248, 7, 7], float32[1488, 248, 1, 1], float32[1, 1488, 7, 7]",1,"opencl0",9204.38,"883835cbceb4f016","tvmgen_default_fused_nn_conv2d_27",4.69594,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",96.193,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.0490762,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",90.884,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0463677,,,
"float32[1, 1488, 7, 7], float32[1488, 1, 5, 5], float32[1, 1488, 7, 7]",1,"opencl0",2022.43,"0bc4f986d7bc7a11","tvmgen_default_fused_nn_conv2d_28",1.03181,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",96.497,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.0492313,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",87.429,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.044605,,,
"float32[1, 1488, 7, 7], float32[248, 1488, 1, 1], float32[1, 248, 7, 7]",1,"opencl0",4723.44,"a15309269ab62de1","tvmgen_default_fused_nn_conv2d_29",2.40983,"NCHW","OIHW",""
"float32[1, 248, 7, 7], float32[248], float32[1, 248, 7, 7]",1,"opencl0",16.996,"9b9867df4bf99e4f","tvmgen_default_fused_nn_bias_add_16",0.00867111,,,
"float32[1, 248, 7, 7], float32[1, 248, 7, 7], float32[1, 248, 7, 7]",1,"opencl0",21.071,"25571acb5763e489","tvmgen_default_fused_add_4",0.0107501,,,
"float32[1, 248, 7, 7], float32[1488, 248, 1, 1], float32[1, 1488, 7, 7]",1,"opencl0",9390.89,"883835cbceb4f016","tvmgen_default_fused_nn_conv2d_27",4.79109,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",97.73,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.0498604,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",88.024,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0449085,,,
"float32[1, 1488, 7, 7], float32[1488, 1, 5, 5], float32[1, 1488, 7, 7]",1,"opencl0",2022.77,"0bc4f986d7bc7a11","tvmgen_default_fused_nn_conv2d_28",1.03199,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",98.459,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.0502323,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",90.27,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0460544,,,
"float32[1, 1488, 7, 7], float32[248, 1488, 1, 1], float32[1, 248, 7, 7]",1,"opencl0",4938.01,"a15309269ab62de1","tvmgen_default_fused_nn_conv2d_29",2.5193,"NCHW","OIHW",""
"float32[1, 248, 7, 7], float32[248], float32[1, 248, 7, 7]",1,"opencl0",16.086,"9b9867df4bf99e4f","tvmgen_default_fused_nn_bias_add_16",0.00820684,,,
"float32[1, 248, 7, 7], float32[1, 248, 7, 7], float32[1, 248, 7, 7]",1,"opencl0",25.02,"25571acb5763e489","tvmgen_default_fused_add_4",0.0127648,,,
"float32[1, 248, 7, 7], float32[1488, 248, 1, 1], float32[1, 1488, 7, 7]",1,"opencl0",9234.19,"883835cbceb4f016","tvmgen_default_fused_nn_conv2d_27",4.71115,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",97.517,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.0497517,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",90.019,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0459264,,,
"float32[1, 1488, 7, 7], float32[1488, 1, 3, 3], float32[1, 1488, 7, 7]",1,"opencl0",629.716,"7e507076ddd19c63","tvmgen_default_fused_nn_conv2d_30",0.321272,"NCHW","OIHW",""
"float32[1, 1488, 7, 7], float32[1488], float32[1, 1488, 7, 7]",1,"opencl0",96.352,"96d55aefa9a2b98a","tvmgen_default_fused_nn_bias_add_17",0.0491574,,,
"float32[1, 1488, 7, 7], float32[1, 1488, 7, 7]",1,"opencl0",88.552,"1c1252d4c1d80e60","tvmgen_default_fused_nn_relu_11",0.0451779,,,
